,Video Views,Creator Gender,Language of the Video,Video Description,Video Quality,Duration,Premiered or Not,Total Channel Subcribers,Total Chanel Views,No of Likes,Hashtags,No of Videos the Channel,Community Engagement (Posts per week)
142,57857399,Org,English,Yes,High,medium,No,0.1885371736902487,0.20846991270824802,0.01589795918367347,0.0,0.0007119064569201356,0.0
143,59553992,Org,Telugu,Yes,Medium,long,No,0.04914799367965853,0.1296102574110693,0.003285714285714286,0.0,0.0330929359355617,0.11730205278592376
144,5155879,Male,English,Yes,Medium,long,No,0.019200414983008222,0.011324591909446569,0.001489795918367347,0.0,0.0004904773582794245,0.04105571847507331
145,10862,Org,English,Yes,Medium,long,No,0.00806017783108141,0.007269879913087344,1.9591836734693877e-06,0.10714285714285714,0.2044719154093224,0.26099706744868034
146,14954555,Male,Hindi,Yes,Low,medium,No,0.0170378983593989,0.006946935434632099,0.003285714285714286,0.0,0.0330929359355617,0.0
147,35916139,Male,English,Yes,Medium,short,No,0.004849168299055446,0.0019890667488988104,0.04081632653061225,0.0,2.619053854890131e-05,0.0
148,593482,Org,English,Yes,Medium,medium,Yes,0.0037351445838627647,0.0067086358230557105,0.0003469387755102041,0.03571428571428571,0.0330929359355617,0.002932551319648094
149,468252,Male,English,Yes,Medium,short,No,0.003273152396091682,0.0008115472989543778,0.00036734693877551024,0.0,0.0021833385317584094,0.005865102639296188
150,3047466969,Female,English,Yes,Medium,short,No,0.15530790065684344,0.3621250700121378,0.2653061224489796,0.0,0.0010119071712075503,0.0
151,2265213,Org,English,Yes,High,medium,No,0.008551658881901712,0.009599744959930842,0.0005306122448979592,0.0,0.0009904785487584494,0.0
152,408122,Male,Kannada,Yes,High,long,No,0.00038652035760711716,0.00017651774769354258,0.00014285714285714287,0.0,0.0008547639399141427,0.002932551319648094
153,2914479,Org,English,Yes,Medium,short,No,0.04292256703593472,0.055422897261615374,0.0001959183673469388,0.0,0.03959057045373918,0.0
154,2754733,Org,English,Yes,Medium,long,No,0.011566075993599554,0.004751524362176588,0.0011632653061224491,0.0,0.01782385196155229,0.19648093841642228
155,725951,Male,Hindi,Yes,Medium,short,No,0.23525548492361234,0.008681332404568263,0.0007959183673469388,0.0,0.00028333400793811414,0.005865102639296188
156,988769,Org,English,Yes,Medium,long,Yes,0.04292256703593472,0.055422897261615374,0.0001326530612244898,0.07142857142857142,0.03959057045373918,0.0
157,37012,Male,Telugu,Yes,Medium,short,No,0.001195825821291212,0.0009377360324794097,0.010040816326530613,0.0,0.001123812199552856,0.005865102639296188
158,702232,Org,English,Yes,Medium,medium,No,0.11893830289614121,0.09453141944909699,0.00036734693877551024,0.0,0.4441939147474161,0.0
159,23957649,Org,English,Yes,Medium,long,No,0.013007753742672436,0.002426572508758896,0.015489795918367348,0.10714285714285714,0.0005142869387784257,0.026392961876832845
160,3869125,Male,English,Yes,Medium,medium,No,0.013826888827372937,0.004342688907335017,0.002489795918367347,0.0,0.00060000142857483,0.002932551319648094
161,323225,Male,English,Yes,Medium,short,No,0.07863685672887656,0.00414375420434815,0.00018775510204081634,0.0,0.0330929359355617,0.04105571847507331
162,634297,Male,English,Yes,Medium,short,No,0.00783082000736527,0.004138233097045022,0.0003877551020408163,0.0,0.0004785725680299239,0.0
163,3449026,Org,English,Yes,Medium,short,No,0.034731216188929714,0.08847208074809707,0.0003469387755102041,0.03571428571428571,0.006147633684842107,0.0
164,1354030,Org,English,Yes,Medium,medium,No,0.22509820987332613,0.04389447722417649,0.0003877551020408163,0.10714285714285714,0.012669077783518534,0.03812316715542522
165,69848,Male,Telugu,Yes,High,medium,No,0.00045205116438315723,0.00015101051575714812,0.0001,0.0,0.0003214293367365161,0.0
166,639049,Male,English,Yes,Medium,long,No,0.010779706312287073,0.009792186393912602,0.0004897959183673469,0.10714285714285714,0.002342862721101717,0.005865102639296188
167,1426261,Org,Hindi,Yes,Medium,medium,No,0.03702479442609112,0.023846863562481342,0.001469387755102041,0.0,0.0010523834580558524,0.01759530791788856
168,85,Org,English,Yes,High,short,Yes,6.815203904708167e-07,8.750392011008735e-08,4.081632653061225e-08,0.07142857142857142,0.0330929359355617,0.0
169,716560,Org,English,Yes,Medium,short,No,0.13433804248851064,0.02383283877696784,0.000836734693877551,0.10714285714285714,0.008507163112293126,0.0
170,12221070,Female,English,Yes,Medium,short,No,0.0001440563725357689,0.00016777554825278223,0.004183673469387755,0.0,3.571437074850178e-05,0.0
171,22595,Male,English,Yes,High,long,No,0.0019133881554888508,0.0012113912401824258,1.7551020408163266e-05,0.0,0.0018000042857244899,0.0
172,14640,Org,English,Yes,Medium,short,No,0.03931837266325252,0.06432038601862326,1.4081632653061225e-06,0.10714285714285714,0.16288848306781684,0.9149560117302052
173,4625896,Org,English,Yes,Medium,long,No,0.009501855580154293,0.0015859163646092965,0.001673469387755102,0.0,0.0004190486167824209,0.02932551319648094
174,43552479,Male,English,Yes,High,short,Yes,0.0033419597432065243,0.0007075933129273685,0.010469387755102042,0.0,8.095257369660405e-05,0.0
175,1160318,Org,Hindi,Yes,High,long,No,0.0006584732057276835,0.0004328493601720289,0.0013061224489795918,0.10714285714285714,0.00013571460884430678,0.0
176,30793209,Male,English,Yes,High,long,No,0.08912178581304298,0.0062626040581342515,0.008755102040816327,0.0,0.00046666777778042333,0.0
177,35061567,Male,English,Yes,Medium,short,No,0.1012449850666104,0.13880305345817545,0.007693877551020408,0.0,0.0330929359355617,0.00879765395894428
178,449340,Male,English,Yes,High,short,No,2.577326630501656e-05,5.721685469259398e-06,0.0001653061224489796,0.10714285714285714,5.714299319760285e-05,0.0
